trace_index,call_type,from,to,value_eth,decoded_input
14,staticcall,0xfd9267ee6594bd8e82e8030c353870fa1773f7f8,0x10ed43c718714eb63d5aa57b78b54704e256024e,0.0,"getAmountsOut(uint256=2813769505544453342436,address[]=('0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c', '0xc321ac21a07b3d593b269acdace69c3762ca2dd0'))"
15,staticcall,0x10ed43c718714eb63d5aa57b78b54704e256024e,0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d,0.0,getReserves()
16,call,0xfd9267ee6594bd8e82e8030c353870fa1773f7f8,0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d,0.0,"swap(uint256=0,uint256=96605739642631517916080650,address=0xfd9267ee6594bd8e82e8030c353870fa1773f7f8,bytes=0x00000000000000000000000000000000000000000000009888e5694d8ba9c4e4)"
17,call,0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d,0xc321ac21a07b3d593b269acdace69c3762ca2dd0,0.0,"transfer(address=0xfd9267ee6594bd8e82e8030c353870fa1773f7f8,uint256=96605739642631517916080650)"
18,call,0xc321ac21a07b3d593b269acdace69c3762ca2dd0,0x9adb8c52f0d845739fd3e035ed230f0d4cba785a,0.0,takeToken(address=0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d)
19,delegatecall,0x9adb8c52f0d845739fd3e035ed230f0d4cba785a,0x559bee76ec549e70630e451d46cb442ef5c230fd,0.0,takeToken(address=0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d)
20,call,0xc321ac21a07b3d593b269acdace69c3762ca2dd0,0x9adb8c52f0d845739fd3e035ed230f0d4cba785a,0.0,takeToken(address=0xfd9267ee6594bd8e82e8030c353870fa1773f7f8)
21,delegatecall,0x9adb8c52f0d845739fd3e035ed230f0d4cba785a,0x559bee76ec549e70630e451d46cb442ef5c230fd,0.0,takeToken(address=0xfd9267ee6594bd8e82e8030c353870fa1773f7f8)
22,staticcall,0xc321ac21a07b3d593b269acdace69c3762ca2dd0,0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d,0.0,getReserves()
23,staticcall,0xc321ac21a07b3d593b269acdace69c3762ca2dd0,0x10ed43c718714eb63d5aa57b78b54704e256024e,0.0,WETH()
24,staticcall,0xc321ac21a07b3d593b269acdace69c3762ca2dd0,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0.0,balanceOf(address=0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d)
25,call,0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d,0xfd9267ee6594bd8e82e8030c353870fa1773f7f8,0.0,"pancakeCall(address=0xfd9267ee6594bd8e82e8030c353870fa1773f7f8,uint256=0,uint256=96605739642631517916080650,bytes=0x00000000000000000000000000000000000000000000009888e5694d8ba9c4e4)"
26,call,0xfd9267ee6594bd8e82e8030c353870fa1773f7f8,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0.0,"transfer(address=0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d,uint256=2813769505544453342436)"
27,staticcall,0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0.0,balanceOf(address=0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d)
28,staticcall,0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d,0xc321ac21a07b3d593b269acdace69c3762ca2dd0,0.0,balanceOf(address=0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d)
29,staticcall,0xc321ac21a07b3d593b269acdace69c3762ca2dd0,0x9adb8c52f0d845739fd3e035ed230f0d4cba785a,0.0,earnedToken(address=0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d)
30,delegatecall,0x9adb8c52f0d845739fd3e035ed230f0d4cba785a,0x559bee76ec549e70630e451d46cb442ef5c230fd,0.0,earnedToken(address=0x42a93c3af7cb1bbc757dd2ec4977fd6d7916ba1d)
